City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,740900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,685000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1029000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,6.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,509990.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,928000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2080000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,915900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1650000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499800.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199900.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,718000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,818000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,685000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1039000.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,738000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,929000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1090000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,979000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,948800.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2379000.0,6.0,7.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,839999.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1795000.0,3.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,649800.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1149900.0,2.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,12750000.0,4.0,7.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699800.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3798000.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699900.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1449000.0,5.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,519888.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1189000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,618900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,565000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,545000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1345000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
